1 713
2 652
3 603
4 586
5 532
6 462
7 414
8 383
9 351
10 315
11 305
12 265
13 225
14 226
15 191
16 190
17 158
18 171
19 144
20 124
21 104
22 111
23 88
24 88
25 65
26 63
27 65
28 62
29 58
30 44
31 47
32 36
33 34
34 37
35 26
36 36
37 31
38 22
39 20
40 10
41 13
42 15
43 16
44 13
45 13
46 11
47 6
48 4
49 5
50 12
51 5
52 3
53 1
54 5
55 7
56 2
57 7
58 3
59 3
60 2
61 3
62 2
63 3
64 2
65 2
66 1
67 2
68 2
69 1
70 0
71 3
72 1
73 1
74 1
75 1
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 1
95 0
96 0
97 0
98 0
99 0
