000000 185997 190807 189132 191878 186662 186686 185191 188343 189113
185753 186400 183291 186389 185975 186520 184786 183915 180072 179562
182995 180623 179407 177123 173075 174157 172302 168264 162990 158375
153363 143202 137297 126193 114312 097781 090890 073297 061825 057296
058878 063861 070921 089636 102944 113602 127503 136850 144325 153755
159287 162577 167681 171116 171750 174878 177749 177059 182134 181894  
179461 181638 183761 184177 183643 183461 183595 181701 186389 183730
185731 187497 186049 184358 186144 182573 185224 184291 184080 185317
185205 182964 186028 182666 184621 181908 182042 182061 181927 181661
179842 176659 173915 172750 173972 170675 167063 161391 158778 151596
148028 136861 125277 116570 106843 089450 077905 064804 057807 055160
058619 068371 080458 093502 108667 122823 133804 142083 149065 158080
163265 165875 168543 171242 173599 175033 177722 176354 181707 181117
185265 182719 185656 185603 186113 186194 185562 185783 185786 185549
187370 188074 186808 190216 188192 192002 189848 190959 189255 191692
186963 187241 191423 187365 190103 190544 190650 189289 189857 192230
191437 191669 188937 190265 193064 190705 190663 190524 187944 191607
190787 191118 189108 189663 190713 191060 191569 193100 193253 191511
192120 191219 114977 100000 000000 000000 000000 000000 000000 000000
000000 000000 000000 000000 000000 000000 000000 000000 000000 000000
 
